,query,text,text_id,similarity,policy_id,page_id
0,transport levies in europe,More recently Germany and Austria have both introduced levies.,1586020,0.6807286,1504,56
1,transport levies in europe,A charge for persons with reduced mobility is levied at several European airports.,1535841,0.67208284,1428,136
2,transport levies in europe,Main elements of the German toll European Transport \ Trasporti Europei n. 31 (2005): 118-128,1524623,0.6388802,1420,4
3,transport levies in europe,"For more information about levies on energy commodities and the design of the EU ETS, see Chapter 4.3.2 in the NC7.",1582786,0.6324082,1498,65
4,transport levies in europe,For the business community the levies are a cost component.,3110,0.63194954,2,18
5,transport levies in europe,For the business community the levies are a cost component.,2492,0.63194954,1,18
6,transport levies in europe,A Reference vehicles A.2 Road transport 155 4.K83 - Transport taxes and charges in Europe March 2019,1536303,0.6227362,1428,155
7,transport levies in europe,European Transport \ Trasporti Europei n. 31 (2005): 118-128,1524571,0.6216646,1420,2
8,transport levies in europe,European Transport \ Trasporti Europei n. 31 (2005): 118-128,1524769,0.6216646,1420,10
9,transport levies in europe,European Transport \ Trasporti Europei n. 31 (2005): 118-128,1524764,0.6216646,1420,9
10,transport levies in europe,European Transport \ Trasporti Europei n. 31 (2005): 118-128,1524720,0.6216646,1420,7
11,transport levies in europe,European Transport \ Trasporti Europei n. 31 (2005): 118-128,1524661,0.6216645,1420,5
12,transport levies in europe,The transport sector is mainly subject to EU-wide regulation.,10888,0.6159376,10,46
13,transport levies in europe,The Danish level of car registration levies is the highest in Europe (second highest in world after Singapore).,1372418,0.61528736,1275,8
14,transport levies in europe,The German HGV-toll European Transport \ Trasporti Europei n. 31 (2005): 118-128,1524511,0.614581,1420,0
15,transport levies in europe,"Therefore, today, the backing of these professionals for European transport policy would seem to be crucial for its success.",1590673,0.6130173,1508,61
16,transport levies in europe,The background European Transport \ Trasporti Europei n. 31 (2005): 118-128,1524542,0.6106776,1420,1
17,transport levies in europe,This study provides a complete overview of all transport taxes and charges levied on the various transport modes in all EU Member States in 2012.,1534059,0.608455,1428,15
18,transport levies in europe,E.5 Maritime transport 189 4.K83 - Transport taxes and charges in Europe March 2019,1536722,0.604787,1428,189
19,transport levies in europe,A.5 Maritime transport 171 4.K83 - Transport taxes and charges in Europe March 2019,1536549,0.60391545,1428,171
20,transport levies in europe,Transport charges are the lowest in the EU and do not take into account the environmental performance of vehicles.,781539,0.6038798,655,10
21,transport levies in europe,In Belgium a charge is levied for vessels using the channel Brussels-Scheldt.,1535401,0.6037446,1428,106
