level0,level1,keywords
CAPACITY BUILDING,Capacity building (general),Capacity building
CAPACITY BUILDING,Knowledge generation,Demonstration project
CAPACITY BUILDING,Knowledge generation,Joint research
CAPACITY BUILDING,Knowledge generation,Knowledge generation
CAPACITY BUILDING,Knowledge generation,Research and development
CAPACITY BUILDING,Knowledge generation,Research body
CAPACITY BUILDING,Knowledge generation,Research collaboration
CAPACITY BUILDING,Knowledge generation,Research funding
CAPACITY BUILDING,Knowledge generation,Research programme
CAPACITY BUILDING,Knowledge generation,Research scheme
CAPACITY BUILDING,Knowledge generation,Scientific inquiries
CAPACITY BUILDING,Knowledge generation,Technology
CAPACITY BUILDING,Knowledge sharing and dissemination,Advice
CAPACITY BUILDING,Knowledge sharing and dissemination,Consultation
CAPACITY BUILDING,Knowledge sharing and dissemination,Education
CAPACITY BUILDING,Knowledge sharing and dissemination,Indigenous knowledge
CAPACITY BUILDING,Knowledge sharing and dissemination,Knowledge distribution
CAPACITY BUILDING,Knowledge sharing and dissemination,Knowledge sharing and dissemination
CAPACITY BUILDING,Knowledge sharing and dissemination,Professional training 
CAPACITY BUILDING,Knowledge sharing and dissemination,Projections
CAPACITY BUILDING,Knowledge sharing and dissemination,Public information
CAPACITY BUILDING,Knowledge sharing and dissemination,Reporting information
CAPACITY BUILDING,Knowledge sharing and dissemination,Technical assistance
CAPACITY BUILDING,Knowledge sharing and dissemination,Training
CAPACITY BUILDING,Structures and processes,Environmental assessment
CAPACITY BUILDING,Structures and processes,Federal adaptation programme
CAPACITY BUILDING,Structures and processes,National adaptation service
CAPACITY BUILDING,Structures and processes,Processes
CAPACITY BUILDING,Structures and processes,Public-private partnerships
CAPACITY BUILDING,Structures and processes,Resource management 
CAPACITY BUILDING,Structures and processes,Risk assessments
CAPACITY BUILDING,Structures and processes,Stakeholder engagement
CAPACITY BUILDING,Structures and processes,Structures 
DIRECT INVESTMENT,Public goods,Commons
DIRECT INVESTMENT,Public goods,Early warning systems
DIRECT INVESTMENT,Public goods,Public goods
DIRECT INVESTMENT,Infrastructure,Infrastructure
DIRECT INVESTMENT,Infrastructure,Investment
DIRECT INVESTMENT,Infrastructure,Procurement
DIRECT INVESTMENT,Infrastructure,Public infrastructure
DIRECT INVESTMENT,Infrastructure,Public spending
DIRECT INVESTMENT,Infrastructure,Resilience funding
DIRECT INVESTMENT,Infrastructure,Social safety nets
DIRECT INVESTMENT,Finance,Climate fund
DIRECT INVESTMENT,Finance,Debt support
