level0,level1,keywords
ADAPTATION,Adaptation,Adaptation
ADAPTATION,Adaptation,Agricultural productivity
ADAPTATION,Adaptation,Coastal erosion
ADAPTATION,Adaptation,Cold wave
ADAPTATION,Adaptation,Desertification
ADAPTATION,Adaptation,Early warning system
ADAPTATION,Adaptation,Energy availability
ADAPTATION,Adaptation,Erosion
ADAPTATION,Adaptation,Frost
ADAPTATION,Adaptation,Hazard
ADAPTATION,Adaptation,Heat stress
ADAPTATION,Adaptation,Infrastructure damage
ADAPTATION,Adaptation,Insurance
ADAPTATION,Adaptation,Land degradation
ADAPTATION,Adaptation,Ocean acidification
ADAPTATION,Adaptation,Precipitation
ADAPTATION,Adaptation,Resilience
ADAPTATION,Adaptation,Resilient infrastructure
ADAPTATION,Adaptation,Saltwater intrusion
ADAPTATION,Adaptation,Seal levels
ADAPTATION,Adaptation,Soil degradation
ADAPTATION,Adaptation,Temperature variability
ADAPTATION,Adaptation,Vulnerability
ADAPTATION,Adaptation,Water availability
ADAPTATION,Adaptation,Water stress
ADAPTATION,Adaptation,Wind patterns
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Agricultural infrastructure
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Agricultural productivity
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Agriculture
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Agroforestry
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Agropastoral
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Agrosilvopastoral
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Biochar
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Biomass
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Biosolid
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Crop burning
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Croplands
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Crops
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Farm irrigation
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Farming
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Fertilizer
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Fibre
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Food
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Harvesting
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Hay
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Irrigation
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Meadow
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Nutrient cycling
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Pasture
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Pest regulation
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Pollination
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Silvopasture
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Soils
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Soil quality
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Tillage
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agriculture (general),Agricultural waste burning
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agricultural greenhouse gas emissions,Agricultural carbon dioxide
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agricultural greenhouse gas emissions,Agricultural greenhouse gas emissions
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agricultural greenhouse gas emissions,Agricultural methane
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agricultural greenhouse gas emissions,Agricultural nitrous oxide
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Animal products
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Animal waste
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Breeding
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Buffalo
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Camels and llamas
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Dairy cattle
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Feeding
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Goats
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Grazing
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Horses
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Livestock
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Manure
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Monogastrics
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Mules and asses
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Non-dairy cattle
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Poultry
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Ruminants
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Sheep
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Livestock,Swine
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agricultural produce,Agricultural produce
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agricultural produce,Cereals
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agricultural produce,Pulse
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agricultural produce,Rice cultivation
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agricultural produce,Root
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agricultural produce,Sugar
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Agricultural produce,Tuber
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Afforestation
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Boreal forest
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Forest onservation
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Deforestation
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Forest conversion
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Forest management
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Forest protection
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Forest rehabilitation
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Forest restoration
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Forest tundra
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Forestry
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Forests
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Logging
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Natural forest
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Temperate forest
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Trees
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Tropical forest
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Forestry,Woody biomass
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Cropland
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Decomposition
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Ecological interactions
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Grassland
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Hunting
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Land degradation
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Land management
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Land sinks
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Land sinks
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Organic soil
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Peat
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Peatlands
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Rewetting
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Savannah
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Soil
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Tundra
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)",Land use,Wetlands
"AGRICULTURE, FORESTRY & OTHER LAND USE (AFOLU)","Land use, land use change and forestry (LULUCF)",LULUCF
BUILDINGS,Buildings (general),Appliances
BUILDINGS,Buildings (general),Boilers
BUILDINGS,Buildings (general),Building codes
BUILDINGS,Buildings (general),Building ownership
BUILDINGS,Buildings (general),Buildings
BUILDINGS,Buildings (general),Buildings infrastructure
BUILDINGS,Buildings (general),Construction
BUILDINGS,Buildings (general),Cooking
BUILDINGS,Buildings (general),Cooling
BUILDINGS,Buildings (general),Cool roofs
BUILDINGS,Buildings (general),Energy for buildings
BUILDINGS,Buildings (general),Glass
BUILDINGS,Buildings (general),Green roofs
BUILDINGS,Buildings (general),Heating 
BUILDINGS,Buildings (general),Heat pumps
BUILDINGS,Buildings (general),Hot water
BUILDINGS,Buildings (general),Insulation
BUILDINGS,Buildings (general),Lighting
BUILDINGS,Buildings (general),Low-carbon concrete
BUILDINGS,Buildings (general),Net-zero buildings
BUILDINGS,Buildings (general),New buildings
BUILDINGS,Buildings (general),Renovation
BUILDINGS,Buildings (general),Retrofit
BUILDINGS,Buildings (general),Smart thermostats
BUILDINGS,Residential buildings,Apartment
BUILDINGS,Residential buildings,Detached house
BUILDINGS,Residential buildings,Green homes
BUILDINGS,Residential buildings,Home insurance
BUILDINGS,Residential buildings,Homes
BUILDINGS,Residential buildings,Housing
BUILDINGS,Residential buildings,Private housing
BUILDINGS,Residential buildings,Residential buildings
BUILDINGS,Residential buildings,Semi-detached house
BUILDINGS,Residential buildings,Social housing
BUILDINGS,Non-residential buildings,Commercial buildings
BUILDINGS,Non-residential buildings,Industrial buildings
BUILDINGS,Non-residential buildings,Municipal buildings
BUILDINGS,Non-residential buildings,Non-residential buildings
BUILDINGS,Non-residential buildings,Offices
BUILDINGS,Non-residential buildings,Public buildings
COASTAL ZONES,Coastal zones,Coastal zones
COASTAL ZONES,Coastal zones,Coasts
COASTAL ZONES,Coastal zones,Fisheries
COASTAL ZONES,Coastal zones,Marine biodiversity
COASTAL ZONES,Coastal zones,Oceans
CROSS-CUTTING AREAS,Cross-cutting areas,Cross-cutting areas
DISASTER RISK MANAGEMENT,Disaster risk management,Adaptation consultation
DISASTER RISK MANAGEMENT,Disaster risk management,Avalanche
DISASTER RISK MANAGEMENT,Disaster risk management,Climate forecasting
DISASTER RISK MANAGEMENT,Disaster risk management,Climate monitoring
DISASTER RISK MANAGEMENT,Disaster risk management,Climate-related perils
DISASTER RISK MANAGEMENT,Disaster risk management,Cyclone
DISASTER RISK MANAGEMENT,Disaster risk management,Disaster risk management
DISASTER RISK MANAGEMENT,Disaster risk management,Early warning system
DISASTER RISK MANAGEMENT,Disaster risk management,Extreme weather events
DISASTER RISK MANAGEMENT,Disaster risk management,Flooding
DISASTER RISK MANAGEMENT,Disaster risk management,Hurricane
DISASTER RISK MANAGEMENT,Disaster risk management,Insurance
DISASTER RISK MANAGEMENT,Disaster risk management,Landslide
DISASTER RISK MANAGEMENT,Disaster risk management,Natural disaster
DISASTER RISK MANAGEMENT,Disaster risk management,Physical risk
DISASTER RISK MANAGEMENT,Disaster risk management,Storm
DISASTER RISK MANAGEMENT,Disaster risk management,Tornado
DISASTER RISK MANAGEMENT,Disaster risk management,Typhoon
DISASTER RISK MANAGEMENT,Disaster risk management,Wildfire
ECONOMY-WIDE,Economy-wide,Economy-wide
ENERGY & CARBON CAPTURE AND STORAGE,Energy (general),Carbon capture
ENERGY & CARBON CAPTURE AND STORAGE,Energy (general),Energy
ENERGY & CARBON CAPTURE AND STORAGE,Energy (general),Energy mix
ENERGY & CARBON CAPTURE AND STORAGE,Energy (general),Energy research
ENERGY & CARBON CAPTURE AND STORAGE,Energy (general),Energy technology
ENERGY & CARBON CAPTURE AND STORAGE,Energy (general),Engineered sinks
ENERGY & CARBON CAPTURE AND STORAGE,Energy (general),High-carbon
ENERGY & CARBON CAPTURE AND STORAGE,Energy (general),Low-carbon
ENERGY & CARBON CAPTURE AND STORAGE,Energy (general),Renewable energy
ENERGY & CARBON CAPTURE AND STORAGE,Energy (general),Sequestration
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Biodiesel
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Bioenergy
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Bioethanol
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Biofuels
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Coal
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Combustion
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Energy combustion activities
ENERGY & CARBON CAPTURE AND STORAGE,Energy production,Energy demand
